score ; Cocktail ; n patient taking C ; n patient taking C and having AE ; RR
14.9223;macrolides, lincosamides and streptogramins:vancomycin:fluconazole:cough and cold preparations;3;2;2013.64
14.9223;tetracosactide:sultiame;3;2;2013.64
14.9223;acth:sultiame;3;2;2013.64
14.9223;blood and blood forming organs:vancomycin:carfilzomib;3;2;2013.64
14.9223;other mineral supplements:vancomycin:oxycodone:prochlorperazine;3;2;2013.64
14.896;vitamin b1, plain and in combination with vitamin b6 and b12:lipid modifying agents;411;5;36.9436
14.892;hmg coa reductase inhibitors:corticosteroids for systemic use;5310;12;6.93329
14.8907;acetic acid derivatives and related substances;8641;15;5.3453
14.7326;vitamin a and d, incl. combinations of the two:lipid modifying agents, plain;7571;14;5.68691
14.5528;lipid modifying agents:dexchlorpheniramine;44;3;206.322
14.3437;chlorhexidine;460;5;33.0073
14.2897;lipid modifying agents:paracetamol;6713;13;5.94743
14.2881;lipid modifying agents:anilides;6714;13;5.94654
14.2294;amoxicillin:vancomycin:drugs affecting bone structure and mineralization;4;2;1510.23
14.2294;amoxicillin:glycopeptide antibacterials:bisphosphonates;4;2;1510.23
14.2294;amoxicillin:glycopeptide antibacterials:drugs affecting bone structure and mineralization;4;2;1510.23
14.1903;angiotensin ii receptor blockers (arbs), plain:lipid modifying agents;11734;17;4.46972
14.1903;angiotensin ii receptor blockers (arbs), plain:lipid modifying agents, plain;11734;17;4.46972
14.0686;mineral supplements:lipid modifying agents;10514;16;4.68947
13.9788;contact laxatives:hmg coa reductase inhibitors;207;4;58.5785
13.827;calcium:acetylsalicylic acid;3869;10;7.90657
13.7748;proton pump inhibitors:hmg coa reductase inhibitors;14928;19;3.93404
13.7717;gemcitabine;3005;9;9.14942
13.7188;macrolides, lincosamides and streptogramins:vancomycin:fluconazole:respiratory system;5;2;1208.18
13.7188;amoxicillin:vancomycin:aciclovir;5;2;1208.18
13.7188;magnesium:vancomycin:prochlorperazine;5;2;1208.18
13.7188;pantoprazole:beta blocking agents:antiseptics and disinfectants:levothyroxine sodium;5;2;1208.18
13.7188;pantoprazole:beta blocking agents:antiseptics and disinfectants:levothyroxine sodium;5;2;1208.18
13.6567;drugs for peptic ulcer and gastro-oesophageal reflux disease (gord):hmg coa reductase inhibitors;16531;20;3.74303
13.4594;lipid modifying agents:other dopaminergic agents;63;3;144.096
13.3136;vancomycin:fluconazole:cough and cold preparations;6;2;1006.82
13.3136;tetracosactide:other antiepileptics;6;2;1006.82
13.3136;other antianemic preparations:third-generation cephalosporins:antipsychotics;6;2;1006.82
13.3136;vitamins:warfarin:opioids:antiseptics;6;2;1006.82
13.2728;amantadine:dopamine agonists:other dopaminergic agents;67;3;135.493
13.1879;antiseptics;583;5;26.0415
13.1837;hmg coa reductase inhibitors:daptomycin;69;3;131.566
12.9681;pitavastatin;610;5;24.8884
12.9315;lipid modifying agents:daptomycin;75;3;121.04
12.8676;vitamins:mineral supplements:systemic hormonal preparations, excl. sex hormones and insulins:antiinflammatory and antirheumatic products:psycholeptics;274;4;44.2527
12.7745;cinnarizine;79;3;114.911
12.6898;other mineral supplements:vancomycin:prochlorperazine;8;2;755.114
12.6379;other plain vitamin preparations;10400;15;4.43636
12.6379;other plain vitamin preparations;10400;15;4.43636
12.6072;corticosteroids for systemic use, plain:aminoquinolines;1822;7;11.7009
12.4718;emtricitabine;5583;11;6.0322
12.4388;vancomycin:oxycodone:prochlorperazine;9;2;671.212
12.2666;pravastatin;5707;11;5.90068
12.2505;ropinirole:other dopaminergic agents;94;3;96.5732
12.2505;amantadine:other dopaminergic agents;94;3;96.5732
12.2158;vancomycin:oxycodone:phenothiazines with piperazine structure;10;2;604.09
12.2158;organic nitrates:trimetazidine:hydrochlorothiazide;10;2;604.09
12.2158;organic nitrates:trimetazidine:low-ceiling diuretics, thiazides;10;2;604.09
12.2158;proton pump inhibitors:beta blocking agents:antiseptics and disinfectants:levothyroxine sodium;10;2;604.09
12.0406;hydrochlorothiazide:amiloride;338;4;35.8721
12.0174;thiazides, plain:amiloride;340;4;35.661
12.0154;amoxicillin:vancomycin:nucleosides and nucleotides excl. reverse transcriptase inhibitors;11;2;549.173
12.0154;penicillins with extended spectrum:glycopeptide antibacterials:bisphosphonates;11;2;549.173
12.0035;antimycotics for systemic use;7051;12;5.2157
11.951;lipid modifying agents:macrolides;753;5;20.1601
11.8676;calcium:analgesics;8407;13;4.74402
11.8333;telbivudine:peginterferon alfa-2a;12;2;503.408
11.8333;vancomycin:natural opium alkaloids:prochlorperazine;12;2;503.408
11.8333;vasodilators used in cardiac diseases:trimetazidine:low-ceiling diuretics, thiazides;12;2;503.408
11.7177;diuretics;48200;36;2.33736
11.6697;drugs for peptic ulcer and gastro-oesophageal reflux disease (gord):lipid modifying agents;18933;20;3.26324
11.6664;nicotinic acid and derivatives;13;2;464.684
11.5721;drugs for acid related disorders:lipid modifying agents;19063;20;3.24072
11.5677;omeprazole:colchicine;118;3;76.9301
11.5366;amiodarone:hmg coa reductase inhibitors;1416;6;12.8839
11.5281;beta blocking agents:antiinfectives for systemic use;6181;11;5.44657
11.5152;platelet aggregation inhibitors excl. heparin:acetylsalicylic acid;8695;13;4.58607
11.5125;metformin:clopidogrel:bisoprolol:simvastatin;14;2;431.492
11.5071;hmg coa reductase inhibitors:macrolides, lincosamides and streptogramins;826;5;18.3776
11.4434;hmg coa reductase inhibitors:amantadine;123;3;73.8026
11.4381;clonazepam:other antipsychotics;838;5;18.1143
11.4381;benzodiazepine derivatives:other antipsychotics;838;5;18.1143
11.438;lipid modifying agents:glucocorticoids;6242;11;5.39314
11.4049;propionic acid derivatives:anilides;5111;10;5.98061
11.3699;antiarrhythmics, class i and iii:hmg coa reductase inhibitors;2208;7;9.65304
11.3577;corticosteroids for systemic use, plain:psycholeptics;6297;11;5.34585
11.1951;amiodarone:lipid modifying agents;1505;6;12.1213
11.0776;omeprazole:high-ceiling diuretics:non-selective monoamine reuptake inhibitors;139;3;65.3067
10.9938;macrolides, lincosamides and streptogramins:glycopeptide antibacterials:fluconazole;18;2;335.604
10.9775;bisphosphonates;23296;22;2.92062
10.8691;antiarrhythmics, class i and iii:lipid modifying agents;2389;7;8.92069
10.86;lipid modifying agents:macrolides, lincosamides and streptogramins;946;5;16.0452
10.8364;omeprazole:drugs for treatment of bone diseases;1605;6;11.3654
10.7525;lipid modifying agents:adamantane derivatives;155;3;58.5648
10.7103;hydrochlorothiazide:hmg coa reductase inhibitors;5549;10;5.50705
10.6394;alimentary tract and metabolism:warfarin:opioids;991;5;15.3162
10.5662;hmg coa reductase inhibitors:metamizole sodium;165;3;55.015
10.5482;lipid modifying agents:betahistine;166;3;54.6836
10.5004;lipid modifying agents:anxiolytics;5690;10;5.37011
10.4982;amantadine;1021;5;14.8659
10.4982;adamantane derivatives;1021;5;14.8659
10.492;amoxicillin:other antibacterials:drugs affecting bone structure and mineralization;23;2;262.646
10.492;tetracosactide;23;2;262.646
10.492;antithrombotic agents:sulfonamides, plain:chlorhexidine;23;2;262.646
10.4052;vancomycin:bortezomib;24;2;251.702
10.3573;lipid modifying agents:metamizole sodium;177;3;51.2848
10.3509;antiarrhythmics, class iii:hmg coa reductase inhibitors;1752;6;10.4108
10.322;glycopeptide antibacterials:bortezomib;25;2;241.634
10.2422;thyroid preparations:chlorhexidine;26;2;232.34
10.1849;hmg coa reductase inhibitors:anxiolytics;4731;9;5.80522
10.1774;paracetamol;45750;33;2.24737
10.0878;drugs for peptic ulcer and gastro-oesophageal reflux disease (gord):atorvastatin;5980;10;5.10876
10.0393;vitamins:other mineral supplements:systemic hormonal preparations, excl. sex hormones and insulins:musculo-skeletal system:psycholeptics;197;3;46.0777
10.0203;thyroid hormones:antiseptics;29;2;208.305
9.90688;hmg coa reductase inhibitors:substituted alkylamines;206;3;44.0643
9.8401;drugs for constipation:lipid modifying agents;2815;7;7.5687
9.8401;drugs for constipation:lipid modifying agents;2815;7;7.5687
9.82077;preparations with no effect on uric acid metabolism:amitriptyline;32;2;188.776
9.80116;omeprazole:agents acting on the renin-angiotensin system;6192;10;4.9332
9.75847;sultiame;33;2;183.055
9.26376;ascorbic acid (vitamin c), incl. combinations:glucocorticoids;691;4;17.5428
9.22184;sitagliptin:lipid modifying agents;2154;6;8.46574
9.19033;codeine;5398;9;5.0858
9.18161;ascorbic acid (vitamin c), incl. combinations:corticosteroids for systemic use;706;4;17.17
9.17491;clonazepam:diazepines, oxazepines, thiazepines and oxepines;1354;5;11.2075
9.16001;alimentary tract and metabolism:gemcitabine;710;4;17.0732
9.13815;lipid modifying agents:gabapentinoids;5436;9;5.05012
9.04501;penicillins with extended spectrum:vancomycin:aciclovir;47;2;128.527
8.97897;lipid modifying agents:gabapentin;3238;7;6.57822
8.94572;hmg coa reductase inhibitors:antimalarials;751;4;16.1407
8.78686;hmg coa reductase inhibitors:antiprotozoals;783;4;15.4807
8.7823;propulsives;5704;9;4.81204
8.73731;systemic hormonal preparations, excl. sex hormones and insulins:sulfamethoxazole;2357;6;7.73564
8.70789;hmg coa reductase inhibitors:prednisone;2370;6;7.69315
8.68157;quinine;805;4;15.0575
8.66517;other cardiac preparations:lipid modifying agents;1512;5;10.0353
8.6576;cardiovascular system:macrolides, lincosamides and streptogramins:antiinflammatory and antirheumatic products:hypnotics and sedatives;57;2;105.978
8.59881;other cardiac preparations:lipid modifying agents;1534;5;9.89128
8.58112;hmg coa reductase inhibitors:triazole and tetrazole derivatives;323;3;28.1009
8.56304;lipid modifying agents, plain:caffeine;325;3;27.9279
8.56304;lipid modifying agents:xanthine derivatives;325;3;27.9279
8.53349;spironolactone:hmg coa reductase inhibitors;1556;5;9.7513
8.52478;hmg coa reductase inhibitors:gabapentinoids;4648;8;5.24267
8.45706;mineral supplements:calcium homeostasis:musculo-skeletal system:psycholeptics;63;2;95.8842
8.34948;vitamin b1, plain and in combination with vitamin b6 and b12;2535;6;7.19168
8.2802;ranolazine:hmg coa reductase inhibitors;358;3;25.3531
8.27205;cardiovascular system:amantadine;359;3;25.2824
8.12375;hmg coa reductase inhibitors:antiparasitic products, insecticides and repellents;933;4;12.9907
8.11972;hmg coa reductase inhibitors:prednisolone;934;4;12.9767
8.06813;ranolazine:lipid modifying agents;385;3;23.5747
8.06047;multienzymes (lipase, protease etc.);1726;5;8.78993
8.05303;hmg coa reductase inhibitors:antimycotics for systemic use;387;3;23.4528
8.05303;hmg coa reductase inhibitors:antimycotics for systemic use;387;3;23.4528
8.03802;lipid modifying agents:triazole and tetrazole derivatives;389;3;23.3322
8.00943;crizotinib:levamisole;1;1;3014.82
8.00943;crizotinib:imidazothiazole derivatives;1;1;3014.82
8.00943;anaplastic lymphoma kinase (alk) inhibitors:levamisole;1;1;3014.82
8.00943;anaplastic lymphoma kinase (alk) inhibitors:imidazothiazole derivatives;1;1;3014.82
8.00943;protein kinase inhibitors:levamisole;1;1;3014.82
8.00943;protein kinase inhibitors:imidazothiazole derivatives;1;1;3014.82
8.00943;cefazolin:chlorphenamine;1;1;3014.82
8.00943;cefazolin:other antidepressants:chlorphenamine;1;1;3014.82
8.00943;cefazolin:antidepressants:chlorphenamine;1;1;3014.82
8.00943;cefazolin:hypnotics and sedatives:chlorphenamine;1;1;3014.82
8.00943;cefazolin:ceftazidime:psycholeptics:chlorphenamine;1;1;3014.82
8.00943;first-generation cephalosporins:psycholeptics:chlorphenamine;1;1;3014.82
8.00943;first-generation cephalosporins:ceftazidime:psycholeptics:chlorphenamine;1;1;3014.82
8.00943;first-generation cephalosporins:ceftazidime:nervous system:chlorphenamine;1;1;3014.82
8.00943;atenolol:basiliximab:clonidine;1;1;3014.82
8.00943;other antianemic preparations:macrolides:other antibacterials:bortezomib:antipsychotics;1;1;3014.82
8.00943;vitamin k antagonists:hydromorphone:antidepressants:chlorhexidine;1;1;3014.82
8.00943;vitamin k antagonists:hormone antagonists and related agents:psychoanaleptics:chlorhexidine;1;1;3014.82
8.00943;thiamine (vit b1):cefepime:ciprofloxacin;1;1;3014.82
8.00943;thiazolidinediones:thiamine (vit b1):ciprofloxacin;1;1;3014.82
8.00943;thiazolidinediones:thiamine (vit b1):cardiovascular system:ciprofloxacin;1;1;3014.82
8.00943;thiazolidinediones:vitamin b1, plain:ciprofloxacin;1;1;3014.82
8.00943;thiazolidinediones:vitamin b1, plain and in combination with vitamin b6 and b12:ciprofloxacin;1;1;3014.82
8.0047;drugs used in diabetes:preparations with no effect on uric acid metabolism:acetylsalicylic acid;79;2;76.4639
7.99701;lipid modifying agents:antimalarials;965;4;12.5596
7.97975;spironolactone:lipid modifying agents;1757;5;8.63468
7.9796;hmg coa reductase inhibitors:pamidronic acid;80;2;75.508
7.93034;hmg coa reductase inhibitors:fusidic acid;82;2;73.6663
7.92212;hmg coa reductase inhibitors:gabapentin;2749;6;6.63095
7.89216;hmg coa reductase inhibitors:risedronic acid;409;3;22.191
7.8823;lipid modifying agents:steroid antibacterials;84;2;71.9122
7.87725;cardiac therapy;29016;22;2.33644
7.86785;enzyme preparations;1801;5;8.4235
7.85363;antiemetics and antinauseants:analgesics;3906;7;5.45096
7.82892;hmg coa reductase inhibitors:ciclosporin;418;3;21.7131
7.72283;lipid modifying agents:pamidronic acid;91;2;66.3802
7.71881;dipeptidyl peptidase 4 (dpp-4) inhibitors:hmg coa reductase inhibitors;2858;6;6.37762
7.58275;nervous system;380410;160;1.37872
7.53519;corticosteroids for systemic use, plain:beta-lactamase resistant penicillins;100;2;60.4057
7.52248;lipid modifying agents, plain:prednisone;2968;6;6.14083
7.52248;lipid modifying agents:prednisone;2968;6;6.14083
7.49582;antigout preparations:other analgesics and antipyretics:amitriptyline;102;2;59.2212
7.44644;lipid modifying agents:risedronic acid;477;3;19.0267
7.41034;atorvastatin:lorazepam;483;3;18.7903
7.31645;blood glucose lowering drugs, excl. insulins:thiamine (vit b1):calcium channel blockers:ciprofloxacin;2;1;1507.41
7.31645;blood glucose lowering drugs, excl. insulins:vitamin b1, plain and in combination with vitamin b6 and b12:penicillins with extended spectrum:ciprofloxacin;2;1;1507.41
7.31645;blood glucose lowering drugs, excl. insulins:vitamin b1, plain and in combination with vitamin b6 and b12:other mineral supplements:ciprofloxacin;2;1;1507.41
7.28377;clonazepam;10088;11;3.32904
7.17953;vitamin k antagonists:lipid modifying agents;4384;7;4.85518
7.1785;proteasome inhibitors;5712;8;4.26327
7.15682;lipid modifying agents:erythromycin;121;2;49.9214
7.14673;fibrates;4409;7;4.82758
7.03113;dexchlorpheniramine;551;3;16.4706
7.03002;domperidone:decongestants and other nasal preparations for topical use;129;2;46.8252
6.91115;crizotinib:antinematodal agents;3;1;1004.94
6.91115;crizotinib:anthelmintics;3;1;1004.94
6.91115;nucleoside and nucleotide reverse transcriptase inhibitors:pneumococcal vaccines;3;1;1004.94
6.91115;other antibacterials:indometacin:hypnotics and sedatives;3;1;1004.94
6.91115;first-generation cephalosporins:chlorphenamine;3;1;1004.94
6.91115;beta blocking agents, selective:basiliximab:clonidine;3;1;1004.94
6.91115;blood glucose lowering drugs, excl. insulins:vitamin b1, plain:beta blocking agents:quinolone antibacterials;3;1;1004.94
6.91059;dopaminergic agents;8959;10;3.4037
6.86816;hmg coa reductase inhibitors:beta-lactamase resistant penicillins;140;2;43.1458
6.8541;ciprofloxacin:various;141;2;42.8398
6.73495;folic acid and derivatives:antiinfectives for systemic use;2323;5;6.52854
6.62363;macrolides, lincosamides and streptogramins:fluconazole:thalidomide:cough and cold preparations;4;1;753.704
6.62088;hmg coa reductase inhibitors:sulfamethoxazole;636;3;14.2686
6.55594;ispaghula (psylla seeds):hmg coa reductase inhibitors;164;2;36.8313
6.44529;glucosamine;1469;4;8.24796
6.42033;esomeprazole:antiinfectives for systemic use;2497;5;6.07295
6.40065;crizotinib:antiparasitic products, insecticides and repellents;5;1;602.963
6.40065;anaplastic lymphoma kinase (alk) inhibitors:antiparasitic products, insecticides and repellents;5;1;602.963
6.40065;vitamin b1, plain:ciprofloxacin:hydrocodone;5;1;602.963
6.30829;eplerenone:hmg coa reductase inhibitors;186;2;32.4744
6.29243;methylprednisolone:prednisone;714;3;12.7092
6.28739;other antiinflammatory and antirheumatic agents, non-steroids;2575;5;5.88871
6.23752;omeprazole:anesthetics;728;3;12.4647
6.20282;lipid modifying agents:sulfamethoxazole;737;3;12.3124
6.07201;hmg coa reductase inhibitors:sulfonamides and trimethoprim;772;3;11.754
6.06451;systemic hormonal preparations, excl. sex hormones and insulins:nelfinavir;7;1;430.687
6.00363;hmg coa reductase inhibitors:sildenafil;791;3;11.4715
5.97536;lipid modifying agents, plain:trimethoprim;799;3;11.3566
5.9352;ispaghula (psylla seeds):lipid modifying agents;225;2;26.8449
5.91955;folic acid:hmg coa reductase inhibitors;2806;5;5.40315
5.91955;folic acid and derivatives:hmg coa reductase inhibitors;2806;5;5.40315
5.89539;hmg coa reductase inhibitors:alprazolam;1712;4;7.07618
5.86523;glucocorticoids:levofloxacin;831;3;10.9191
5.81353;other immunosuppressants:chloroquine;9;1;334.979
5.68304;lipid modifying agents:sulfonamides and trimethoprim;887;3;10.2293
5.66114;levodopa and decarboxylase inhibitor:other dopaminergic agents;894;3;10.1492
5.64369;lipid modifying agents:other immunosuppressants;1838;4;6.59058
5.61319;corticosteroids for systemic use:galantamine;11;1;274.073
5.61319;lipid modifying agents:etidronic acid;11;1;274.073
5.60262;bisoprolol:corticosteroids for systemic use;913;3;9.93787
5.52635;omeprazole:dosulepin;12;1;251.233
5.49381;corticosteroids for systemic use:antigout preparations;1918;4;6.31537
5.49235;simvastatin:antigout preparations;950;3;9.55059
5.48831;vitamins:musculo-skeletal system:other analgesics and antipyretics:amitriptyline;283;2;21.3423
5.44647;corticosteroids for systemic use, plain:flunisolide;13;1;231.908
5.37613;hmg coa reductase inhibitors:antidepressants;11115;10;2.73979
5.34499;omeprazole:antigout preparations;1002;3;9.05466
5.32654;potassium:glucocorticoids;2012;4;6.01997
5.32031;drugs for constipation:cardiovascular system;6130;7;3.46852
5.30674;other dopaminergic agents;1016;3;8.92982
5.29964;antiinfectives for systemic use:opium alkaloids and derivatives;3253;5;4.6594
5.2027;lipid modifying agents:alprazolam;2085;4;5.80893
5.1719;furosemide:hmg coa reductase inhibitors;6305;7;3.37188
5.16964;drugs used in diabetes:systemic hormonal preparations, excl. sex hormones and insulins:musculo-skeletal system;2105;4;5.75367
5.12188;salicylic acid and derivatives:cromoglicic acid;18;1;167.488
5.00183;bulk-forming laxatives:lipid modifying agents;364;2;16.5922
4.92849;natural opium alkaloids;34770;21;1.8508
4.91287;lipid modifying agents:respiratory system;13804;11;2.42723
4.90192;lipid modifying agents, plain:amitriptyline;1178;3;7.701
4.90192;lipid modifying agents:amitriptyline;1178;3;7.701
4.86758;hmg coa reductase inhibitors:drugs used in erectile dysfunction;1193;3;7.6041
4.85171;lipid modifying agents, plain:psychostimulants, agents used for adhd and nootropics;1200;3;7.55971
4.85171;lipid modifying agents:psychostimulants, agents used for adhd and nootropics;1200;3;7.55971
4.84008;lercanidipine:lipid modifying agents, plain;396;2;15.2512
4.84008;lercanidipine:lipid modifying agents;396;2;15.2512
4.82923;lipid modifying agents:anesthetics;1210;3;7.49719
4.81127;lipid modifying agents:hydrocortisone;402;2;15.0235
4.78486;hmg coa reductase inhibitors:alendronic acid;1230;3;7.37519
4.74656;levodopa and decarboxylase inhibitor;3726;5;4.06672
4.6817;lipid modifying agents:famciclovir;28;1;107.67
4.6817;amlodipine:galantamine;28;1;107.67
4.66051;high-ceiling diuretics:antiinfectives for systemic use;3807;5;3.97999
4.65434;hmg coa reductase inhibitors:endocrine therapy;1291;3;7.02645
4.63858;lipid modifying agents, plain:drugs for treatment of bone diseases;3828;5;3.95811
4.63858;lipid modifying agents:drugs for treatment of bone diseases;3828;5;3.95811
4.61787;proton pump inhibitors:acetylsalicylic acid;10579;9;2.58669
4.50504;dopa and dopa derivatives;3959;5;3.82682
4.49908;lipid modifying agents:drugs used in erectile dysfunction;1368;3;6.63064
4.49607;losartan:lipid modifying agents;3968;5;3.81812
4.47598;lipid modifying agents:allopurinol;2581;4;4.69116
4.43171;lipid modifying agents:deflazacort;36;1;83.7433
4.43171;anabolic agents for systemic use:systemic hormonal preparations, excl. sex hormones and insulins:musculo-skeletal system;36;1;83.7433
4.38828;prednisone:all other therapeutic products;502;2;12.03
4.37025;hmg coa reductase inhibitors:thyroid therapy;7376;7;2.88036
4.36208;omeprazole:vitamin a and d, incl. combinations of the two:antiinflammatory and antirheumatic products, non-steroids;509;2;11.8645
4.3436;omeprazole:antimigraine preparations;514;2;11.7491
4.29248;lipid modifying agents:antidepressants;13119;10;2.31837
4.2845;h2-receptor antagonists;11192;9;2.44408
4.27569;lipid modifying agents:endocrine therapy;1488;3;6.09545
4.27154;triamterene:hmg coa reductase inhibitors;534;2;11.3089
4.25747;hmg coa reductase inhibitors:fentanyl;538;2;11.2248
4.24239;ascorbic acid (vitamin c), incl. combinations;5845;6;3.11265
4.22649;anastrozole;1516;3;5.98277
4.19212;rabeprazole:hmg coa reductase inhibitors;557;2;10.8417
4.08589;lipid modifying agents:pyridostigmine;51;1;59.1123
4.08589;lipid modifying agents:degarelix;51;1;59.1123
4.07178;lipid modifying agents:antihistamines for systemic use;4425;5;3.42283
4.07178;lipid modifying agents:antihistamines for systemic use;4425;5;3.42283
4.02922;metformin:pitavastatin;54;1;55.8282
4.01104;other alimentary tract and metabolism products:prednisone;55;1;54.8131
3.99433;famotidine:hmg coa reductase inhibitors;619;2;9.75545
3.97565;salsalate;57;1;52.8898
3.93793;rabeprazole:lipid modifying agents, plain;638;2;9.46481
3.92486;prednisone:dextropropoxyphene;60;1;50.2452
3.90849;proton pump inhibitors:other drugs for disorders of the musculo-skeletal system;61;1;49.4215
3.89289;hmg coa reductase inhibitors:urologicals;3083;4;3.92609
3.84564;lipid modifying agents:anticholinesterases;65;1;46.38
3.81566;omeprazole:emtricitabine;67;1;44.9955
3.80101;lipid modifying agents:melphalan;68;1;44.3338
3.78224;opium alkaloids and derivatives;22857;14;1.86576
3.73987;drugs for constipation:glucocorticoids;1828;3;4.96068
3.69409;magnesium:lipid modifying agents;1861;3;4.87261
3.69111;prednisone:chlorphenamine;76;1;39.6669
3.69111;corticosteroids for systemic use:rocuronium bromide;76;1;39.6669
3.62822;hmg coa reductase inhibitors:general nutrients;81;1;37.2182
3.62297;lipid modifying agents:thyroid hormones;8617;7;2.46363
3.59969;enoxaparin:corticosteroids for systemic use, plain;766;2;7.8826
3.58068;simvastatin:colchicine;85;1;35.4667
3.53535;lipid modifying agents, plain:thalidomide;89;1;33.8726
3.53535;lipid modifying agents:thalidomide;89;1;33.8726
3.50912;thyroid therapy;35367;19;1.63928
3.49018;lipid modifying agents:cough suppressants, excl. combinations with expectorants;3501;4;3.45643
3.4813;hmg coa reductase inhibitors:antihistamines for systemic use;3511;4;3.44657
3.4711;amlodipine:azithromycin;95;1;31.7331
3.44198;lipid modifying agents:codeine;835;2;7.23091
3.42956;corticosteroids for systemic use:diphenhydramine;2066;3;4.38857
3.41625;hmg coa reductase inhibitors:pregabalin;2077;3;4.3653
3.39157;sugammadex;103;1;29.2683
3.39157;ciclosporin:preparations inhibiting uric acid production;103;1;29.2683
3.37267;anabolic agents for systemic use:analgesics;105;1;28.7107
3.35413;omeprazole:drugs for treatment of bone diseases:amitriptyline;107;1;28.1741
3.29192;fingolimod:acetylsalicylic acid;114;1;26.444
3.24488;acth;931;2;6.48491
3.24409;pyrimidine analogues;17854;11;1.87189
3.19348;hmg coa reductase inhibitors:antimigraine preparations;958;2;6.30204
3.17077;lipid modifying agents:ketoprofen;129;1;23.3689
3.14667;lipid modifying agents, plain:cough and cold preparations;3916;4;3.08934
3.14206;rosuvastatin:analgesics;3922;4;3.0846
3.1263;hmg coa reductase inhibitors:benzamides;135;1;22.3302
3.07005;hmg coa reductase inhibitors:parasympathomimetics;143;1;21.0808
3.06044;lipid modifying agents:pregabalin;2399;3;3.77862
3.01693;lipid modifying agents, plain:integrase inhibitors;151;1;19.9639
2.99144;atenolol:clonidine;155;1;19.4486
2.99144;famotidine:drugs used in diabetes:acetylsalicylic acid;155;1;19.4486
2.98965;vaccines;1074;2;5.62097
2.96662;hmg coa reductase inhibitors:other hormone antagonists and related agents;159;1;18.9593
2.91304;didanosine;168;1;17.9435
2.91304;lipid modifying agents:ceftriaxone;168;1;17.9435
2.89583;lipid modifying agents:other hormone antagonists and related agents;171;1;17.6287
2.88453;cromoglicic acid;173;1;17.4249
2.87893;hmg coa reductase inhibitors:colony stimulating factors;174;1;17.3247
2.87216;drugs used in benign prostatic hypertrophy:corticosteroids for systemic use;1148;2;5.2584
2.86664;folic acid:prednisone;2600;3;3.48607
2.84602;lipid modifying agents:parasympathomimetics;180;1;16.7472
2.84064;hmg coa reductase inhibitors:raloxifene;181;1;16.6546
2.81365;ascorbic acid (vit c):hmg coa reductase inhibitors;1187;2;5.0855
2.81365;ascorbic acid (vitamin c), plain:hmg coa reductase inhibitors;1187;2;5.0855
2.80045;omeprazole:muscle relaxants;1196;2;5.04721
2.75728;irbesartan:lipid modifying agents;1226;2;4.92361
2.74579;fibrates:nervous system;2736;3;3.3125
2.72479;isosorbide dinitrate:hmg coa reductase inhibitors;204;1;14.7767
2.7014;lipid modifying agents:anastrozole;209;1;14.4231
2.69679;lipid modifying agents, plain:colony stimulating factors;210;1;14.3544
2.68764;drugs for peptic ulcer and gastro-oesophageal reflux disease (gord):drugs for treatment of bone diseases:amitriptyline;212;1;14.219
2.6831;hmg coa reductase inhibitors:abatacept;213;1;14.1522
2.67858;antiinfectives for systemic use:medical gases;214;1;14.0861
2.64282;hmg coa reductase inhibitors:opium alkaloids and derivatives;2859;3;3.16975
2.63551;organic nitrates:hmg coa reductase inhibitors;2868;3;3.15979
2.62598;corticosteroids for systemic use, plain:carbonic anhydrase inhibitors;226;1;13.3381
2.58432;lipid modifying agents:raloxifene;236;1;12.7728
2.56817;lipid modifying agents:ibandronic acid;240;1;12.5599
2.54837;omeprazole:other cardiac preparations;245;1;12.3035
2.51422;lipid modifying agents:celecoxib;1412;2;4.27454
2.514;hydrocortisone;3023;3;2.99748
2.48096;organic nitrates:lipid modifying agents;3067;3;2.9544
2.48042;deflazacort;263;1;11.4613
2.47265;olmesartan medoxomil:lipid modifying agents;1447;2;4.17106
2.46957;hmg coa reductase inhibitors:clarithromycin;266;1;11.3321
2.42883;thiazolidinediones:hmg coa reductase inhibitors;1485;2;4.06423
2.41716;hmg coa reductase inhibitors:azithromycin;281;1;10.727
2.40703;lipid modifying agents:clarithromycin;284;1;10.6137
2.40384;vasodilators used in cardiac diseases:hmg coa reductase inhibitors;3173;3;2.85552
2.39961;systemic hormonal preparations, excl. sex hormones and insulins:colony stimulating factors;1511;2;3.99423
2.39701;lipid modifying agents, plain:hydromorphone;287;1;10.5027
2.39701;lipid modifying agents:hydromorphone;287;1;10.5027
2.39039;erythropoietin:hmg coa reductase inhibitors;289;1;10.43
2.3871;lipid modifying agents:third-generation cephalosporins;290;1;10.3941
2.33863;hmg coa reductase inhibitors:direct acting antivirals;1567;2;3.85135
2.32982;lipid modifying agents:fingolimod;308;1;9.78652
2.32457;hmg coa reductase inhibitors:cough and cold preparations;3287;3;2.75629
2.30293;calcium homeostasis;14042;8;1.72522
2.2956;glyceryl trinitrate:lipid modifying agents, plain;1608;2;3.75306
2.2956;glyceryl trinitrate:lipid modifying agents;1608;2;3.75306
2.2906;low-ceiling diuretics, excl. thiazides:corticosteroids for systemic use;321;1;9.39011
2.27887;lipid modifying agents:other sex hormones and modulators of the genital system;325;1;9.27451
2.27001;lipid modifying agents:immunostimulants;1633;2;3.69554
2.26441;remifentanil;330;1;9.13396
2.26292;lipid modifying agents:other antineoplastic agents;1640;2;3.67975
